,review,hotel,hotel_url
0,"Classy Boutique Hotel rất tốt. Nhân viên thân thiện, chiều khách",ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
1,"Địa điểm tiện lợi, phòng sạch sẽ",ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
2,nhân viên khách sạn thân thiện. khách sạn trong phố cổ nên đi đâu cũng gần,ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
3,"các bạn tiếp tân rất nhiệt tình, phòng tuy nhỏ nhưng rất tiện nghi và thoải mái. Mình ở 3 khách sạn tại hà nội trong chuyến này thì Classy là tốt nhất. Vị trí ngay trong phố cổ. Tuy nhiên máy lạnh là loại máy lạnh trung tâm nên cũng không lạnh như mình muốn lắm.",ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
4,Phòng ốc nhỏ xinh và phục vụ dễ thương,ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
5,"Mọi thứ đều ok, nhân viên thân thiện.",ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
6,Phòng ở đây tiện nghi và thoải mái ạ,ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
7,Tuyet voi ong mat troi. Se ghe lai,ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
8,"Phòng nhỏ nhưng đầy đủ, yên giấc ngủ ngon. Nhân viên nhiệt tình thật sự 👏👏👏",ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
9,"10 điểmm luôn , service tuyệt vời",ï»¿Classy Boutique Hotel,https://www.traveloka.com/en-vn/hotel/detail?spec=13-05-2023.14-05-2023.1.1.HOTEL.1000000399730.Classy%20Boutique%20Hotel.1&contexts=%7B%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0dM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxBmwvZ2YEfP4nhoiDGlUr32mhLDdV0WLeT%2FFKfQ0QL8LH02Dvlx%2F8PjYogEE5yzx6g6yOKyKeIDf7jO3GM45O1o1hmSkmz3HiZNSbS8gXb3CDW9nmlhkqLKa4lLkAkZpAG5JCAR4KEzOF9HzUvNfgOnqr5Ov2QSm2AvCfOdBe9Oy%2Fvnzag3zLIuKsio2qc%2FE%2BKC0I%2B4MpT6AtjonGvWhSFYeOjRTl6ytxGba%2F42pjcyyVc4KxuembJV6Yiv2h%2FCVOHi42A4Bx%2BAVZlB2OJQoCeizHaEIke4gLKBu993M9y78%2FmzREQ0KgV1vvYuRfaKd1eNmO0SRV1ogUSH81Kgs05B6IoMhVKT4w7TwrTxbp%2FQ2iMn1qdaM1viWqCGwU1siX1ZIegdsZIo1sjlWnbsTcjefS6Pj3RtIU6lROCEB6QAgiS1WJabPNVEO7waQAXksTDyQHUY2wqyAfRzb44KOjG0poBVHSJ1fq5iJGt%2Fs2ROyG2r1yuKaZ4GSAmh5BaCjz8%3D%22%7D&prevSearchId=1765659676729430012&loginPromo=1
